,r362,,,r397,,,r516,,,
ID,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêîÇÃsd
176,0.042635659,0.000576037,0.075847839,,,,0.034810127,0.000684463,44.69401625,3.06195E-05
68,0.079457364,0.000702741,292.8221575,,,,0.068037975,0.000740192,495.8916917,6.52012E-05
149,0.104651163,0.000744602,62.33866958,0.029082774,0.00050813,616.6039853,0.110759494,0.000726216,324.8408249,0.00206983
177,0.046511628,0.000560224,6.470208,,,,0.037974684,0.000673854,141.3037499,3.64397E-05
178,0.042635659,0.000576037,0.075847839,,,,0.034810127,0.00070028,59.30735009,3.06195E-05
179,0.042635659,0.000576037,0.075847839,0.07606264,0.00054407,54.36521612,0.034810127,0.00070028,59.30735009,0.000480062
181,0.065891473,0.000761615,364.775141,0.111856823,0.000544959,848.6699224,0.063291139,0.000675219,338.6642476,0.000746367
182,0.065891473,0.000761615,364.775141,0.111856823,0.000544959,848.6699224,0.063291139,0.000675219,338.6642476,0.000746367
183,0.065891473,0.000761615,364.775141,0.111856823,0.000544959,848.6699224,0.063291139,0.000675219,338.6642476,0.000746367
184,0.065891473,0.000761615,364.775141,0.111856823,0.000544959,848.6699224,0.063291139,0.000675219,338.6642476,0.000746367
69,0.139534884,0.000788644,920.6654274,0.07606264,0.000533049,374.783598,0.193037975,0.00075358,2788.688381,0.003429089
108,0.048449612,0.00070373,97.18519595,,,,0.039556962,0.000587544,69.4705441,3.95396E-05
109,0.048449612,0.00070373,97.18519595,,,,0.039556962,0.000587544,69.4705441,3.95396E-05
249,0.060077519,0.000664452,34.13841988,,,,0.050632911,0.000573723,11.21501628,4.46003E-05
250,0.118217054,0.000766871,639.0299755,0.123042506,0.000534759,218.8570828,0.083860759,0.00066357,400.2587703,0.000456475
251,0.093023256,0.000723589,180.2921277,,,,0.061708861,0.000643915,152.2502578,0.000490296
252,0.054263566,0.000684463,79.11575237,,,,0.045886076,0.000594177,44.73474207,3.50912E-05
70,0.044573643,0.000687758,109.2407568,0.015659955,0.000490196,8.14306767,0.039556962,0.00059453,237.112593,0.000238706
405,0.015503876,0.000727273,139.5184243,,,,0.017405063,0.000634518,209.3900961,1.80726E-06
110,0.052325581,0.000734754,617.2532236,,,,0.066455696,0.000640615,901.7523155,9.98301E-05
253,0.071705426,0.00073046,110.5106625,0.11409396,0.000517063,373.6817699,0.061708861,0.00062461,53.62740215,0.000773486
71,0.065891473,0.000793651,402.1882187,0.105145414,0.000519751,103.1741047,0.136075949,0.000766871,1153.937505,0.001237238
186,0.087209302,0.000822368,440.9972046,0.06935123,0.000513084,58.44504651,0.066455696,0.00069735,167.2326911,0.000126335
348,0.071705426,0.000803859,1717.492946,0.100671141,0.000550964,443.7087721,0.050632911,0.000634518,1442.080787,0.000631148
111,0.019379845,0.000661376,81.23294953,0.006711409,0.000486381,2.857741353,0.015822785,0.000554939,75.13081547,4.26932E-05
112,0.021317829,0.000519751,0.8,,,,0.017405063,0.000442087,0.8,7.65487E-06
113,0.019379845,0.000661376,81.23294953,,,,0.015822785,0.000554939,75.13081547,6.32634E-06
114,0.019379845,0.000661376,81.23294953,,,,0.015822785,0.000554939,75.13081547,6.32634E-06
115,0.019379845,0.000661376,81.23294953,0.078299776,0.000542005,43.30130936,0.015822785,0.000554939,75.13081547,0.001231264
187,0.09496124,0.000799361,265.3556336,0.020134228,0.000489956,5.480501658,0.077531646,0.000667557,264.2891418,0.001532889
268,0.110465116,0.000881057,1218.505595,0.199105145,0.000543183,716.5361014,0.204113924,0.000778816,3958.597438,0.002775374
189,0.015503876,0.000655308,120.9076148,0.053691275,0.000523013,74.06470012,0.053797468,0.000682128,173.0625105,0.000487448
409,0.013565891,0.000476872,3.461049676,0.134228188,0.000543478,412.3931134,0.014240506,0.000567215,91.36336177,0.004826148
358,0.042635659,0.000761615,1193.14791,,,,0.058544304,0.000685401,916.3772295,0.000126542
72,0.100775194,0.000775795,506.2599423,0.03803132,0.000471698,27.76694649,0.094936709,0.00066357,245.5613767,0.001201517
473,0.032945736,0.000682594,25.24973784,,,,0.026898734,0.000575043,13.8530663,1.82831E-05
474,0.032945736,0.000682594,25.24973784,,,,0.026898734,0.000575043,13.8530663,1.82831E-05
475,0.034883721,0.000766284,262.9315528,0.026845638,0.000489476,291.3708468,0.03164557,0.000646831,353.0335225,1.6356E-05
476,0.025193798,0.000712251,48.22057779,,,,0.02056962,0.000606061,56.94225328,1.06915E-05
438,0.007751938,0.000587544,0.466666667,,,,0.007911392,0.000513347,1.322893,1.27129E-08
326,0.073643411,0.000772201,184.9571888,0.136465324,0.000523286,45.78011352,0.075949367,0.000686813,99.04650716,0.001269015
104,0.031007752,0.000683995,387.4220762,0.024608501,0.000503778,14.48703378,0.025316456,0.00059988,408.0046741,1.23071E-05
191,0.011627907,0.000623441,0.1,,,,0.025316456,0.000622665,193.6855761,9.36882E-05
116,0.031007752,0.000701262,323.0857908,,,,0.025316456,0.000607533,326.6779058,1.61954E-05
192,0.029069767,0.000673854,358.6820087,0.217002237,0.000539665,715.9613924,0.023734177,0.000591366,221.289698,0.012116604
37,0.032945736,0.00075815,10.22623874,,,,0.003164557,0.000554324,0.835279185,0.000443459
269,0.009689922,0.00048852,0,,,,0.007911392,0.000571429,3.042911304,1.58158E-06
194,0.158914729,0.000879507,1192.348561,0.172259508,0.000562746,1265.476989,0.169303797,0.000723589,879.6724959,4.91254E-05
36,0.112403101,0.000776398,125.7534388,0.131991051,0.000524659,209.6063357,0.083860759,0.000721501,306.7003061,0.000585813
195,0.096899225,0.000830565,495.5776788,0.051454139,0.000501253,8.652645881,0.082278481,0.000687758,446.162129,0.000538194
196,0.085271318,0.000761035,63.50786086,,,,0.077531646,0.000665779,61.31329576,2.99513E-05
197,0.11627907,0.000802568,407.9105774,,,,0.101265823,0.000670241,228.4296226,0.000112699
198,0.085271318,0.000761035,63.50786086,0.073825503,0.00049456,1.483685398,0.058544304,0.000673401,25.98246172,0.000179809
327,0.124031008,0.000867303,822.2360446,,,,0.113924051,0.000731529,372.5128407,5.10753E-05
359,0.069767442,0.000800641,55.99342658,0.111856823,0.000526593,15.20173252,,,,0.000885758
360,0.069767442,0.000800641,55.99342658,0.022371365,0.000506329,11.97040499,0.063291139,0.000696864,63.55882451,0.00066046
38,0.114341085,0.000829876,1145.449114,0.167785235,0.00054407,444.553088,0.151898734,0.000734754,1107.085639,0.000753206
293,0.067829457,0.00075188,135.3190609,,,,0.069620253,0.000646412,86.63075869,1.60347E-06
295,0.079457364,0.00084246,922.1581105,,,,0.069620253,0.000729927,700.6705688,4.83844E-05
303,0.050387597,0.000718391,80.24064127,0.185682327,0.000540541,1082.473175,,,,FALSE
328,0.044573643,0.000722022,72.06384394,,,,,,,#DIV/0!
329,0.044573643,0.000722022,72.06384394,,,,,,,#DIV/0!
39,0.079457364,0.000819672,976.2871302,0.035794183,0.0004914,49.63806193,0.033227848,0.000680272,21.93330585,0.000675038
200,0.034883721,0.000824402,82.01346103,0.049217002,0.000537346,28.53107799,0.028481013,0.000706215,64.44578244,0.000112736
201,0.034883721,0.000824402,82.01346103,0.049217002,0.000537346,28.53107799,0.028481013,0.000706215,64.44578244,0.000112736
202,0.034883721,0.000824402,82.01346103,,,,0.028481013,0.000706215,64.44578244,2.04973E-05
203,0.034883721,0.000824402,82.01346103,,,,0.028481013,0.000706215,64.44578244,2.04973E-05
204,0.034883721,0.000824402,82.01346103,,,,0.028481013,0.000706215,64.44578244,2.04973E-05
40,0.09496124,0.000802568,999.4471848,0.096196868,0.000527148,138.465683,0.061708861,0.00069541,421.9678021,0.000382778
406,0.01744186,0.00062422,19.5814293,0.049217002,0.000475285,10.47110744,0.023734177,0.000515464,1.350632535,0.000283105
324,0.052325581,0.000728863,177.5026161,0.051454139,0.000540249,89.38976098,0.047468354,0.000664011,252.7080092,6.70642E-06
322,0.034883721,0.000747943,968.9693376,0.002237136,0.000441891,0,0.030063291,0.000677048,183.5165797,0.000310555
330,0.019379845,0.000739645,45.2387702,,,,0.017405063,0.00065703,25.74240154,1.94988E-06
452,0.005813953,0.000645578,0.190984834,,,,0.004746835,0.000547345,0.098331577,5.6937E-07
271,0.032945736,0.000652316,1.239734987,0.040268456,0.000461681,1.060189128,0.03164557,0.000576701,1.093934502,2.16111E-05
188,0.046511628,0.000750751,478.6989572,0.1901566,0.000504541,590.5474412,0.066455696,0.000714796,905.8391674,0.006055593
175,0.102713178,0.00077821,851.4615376,0.178970917,0.000533903,1639.298408,0.087025316,0.000650195,531.6946534,0.002419224
208,0.044573643,0.000763942,364.349145,0.055928412,0.000510204,279.2635425,0.041139241,0.00065445,266.1980039,5.99076E-05
272,0.032945736,0.000652316,1.239734987,0.040268456,0.000461681,1.060189128,0.03164557,0.000576701,1.093934502,2.16111E-05
273,0.032945736,0.000652316,1.239734987,,,,0.03164557,0.000576701,1.093934502,8.45217E-07
274,0.032945736,0.000652316,1.239734987,0.040268456,0.000461681,1.060189128,0.049050633,0.00066313,525.6020545,6.50194E-05
275,0.087209302,0.000825083,1106.931114,0.040268456,0.000461681,1.060189128,0.074367089,0.000693001,819.534698,0.000588514
276,0.032945736,0.000652316,1.239734987,0.040268456,0.000461681,1.060189128,0.03164557,0.000576701,1.093934502,2.16111E-05
277,0.032945736,0.000652316,1.239734987,0.040268456,0.000461681,1.060189128,0.03164557,0.000576701,1.093934502,2.16111E-05
278,0.032945736,0.000652316,1.239734987,0.082774049,0.000493827,186.5866072,0.03164557,0.000576701,1.093934502,0.000849779
279,0.032945736,0.000652316,1.239734987,0.040268456,0.000461681,1.060189128,0.03164557,0.000576701,1.093934502,2.16111E-05
74,0.067829457,0.000803213,1476.265712,,,,,,,#DIV/0!
119,0.011627907,0.000716332,17.86090196,0.020134228,0.000468604,2.151860408,0.02056962,0.000668003,174.0112231,2.54169E-05
117,0.102713178,0.000890472,2427.114703,0.07606264,0.00054407,54.36521612,0.099683544,0.000791139,2559.109367,0.000212896
485,0.003875969,0.000538213,0,,,,0.003164557,0.000471698,0,2.53054E-07
398,0.027131783,0.000674309,155.0040158,0.055928412,0.000536769,213.566288,0.151898734,0.000721501,4040.337856,0.004267723
432,0.011627907,0.000627353,0.380560944,,,,0.009493671,0.000546747,0.944017125,2.27748E-06
433,0.013565891,0.000627746,514.3805609,,,,0.011075949,0.000547046,630.9440171,3.09991E-06
434,0.011627907,0.000627353,0.380560944,,,,0.009493671,0.000546747,0.944017125,2.27748E-06
190,0.042635659,0.000790514,356.5064991,0.002237136,0.000463177,0,0.036392405,0.000668003,211.4194456,0.000472934
75,0.110465116,0.000859107,2055.207296,,,,0.136075949,0.000755287,2248.37493,0.000327957
