#,,,,,
#,ID,degree,closeness,between,degreeness
to,123,1.012578616,1.000091559,1.055034799,1.008661484
class,124,1.048780488,1.009722082,1.087394451,1.04472331
stroke,125,1,0.997603737,1.003566977,0.996131528
apply,126,1,0.997596515,0.992267582,0.996131528
image,127,1,0.998453849,1.006365368,0.996131528
output,128,1,0.999269377,1.33088551,0.996131528
decorated,129,1,0.997049437,,0.996131528
decorator,130,1,0.997437304,0.992396223,0.996131528
load,131,1,0.996358939,0.99712155,0.996131528
grid,132,1.047619048,0.998421412,1.478761482,1.043566363
scale,133,1.016393443,0.99599117,0.7763139,1.012461553
nano,134,1,0.996782621,0.987858325,0.996131528
prototype,135,1,0.997952697,0.963938369,0.996131528
doctype,136,1,1.00066986,0.855894947,0.996131528
new,137,1,0.997043224,1.030050234,0.996131528
default,138,1,0.998061468,0.968109588,0.996131528
focus,139,1.063829787,1.00677594,0.953976677,1.059714392
area,140,1.448979592,1.050306924,2.927683554,1.443374255
active,141,1,0.997036376,1.401408056,0.996131528
enabled,142,1.03030303,1.008645952,1.128599189,1.026317332
quad,143,0.975609756,0.996854749,0.978906752,0.971835637
reorganize,144,1,0.996127639,,0.996131528
leaf,145,1,0.999348452,1.242615014,0.996131528
split,146,1,0.998131943,0.935871783,0.996131528
join,147,1,0.997943985,1.089036319,0.996131528
child,148,1.234042553,0.999012253,1.206256953,1.229268694
layouter,149,1.074074074,1.002244529,0,1.069919049
layout,150,1.018181818,0.990922004,0.944974993,1.01424301
delegation,151,1,0.993841341,,0.996131528
mouse,152,1.018181818,1.006872063,0.534059856,1.01424301
show,153,1,0.997536672,1.026974593,0.996131528
creation,154,1,0.997403701,0.967863249,0.996131528
activate,155,1.025,1.005970767,0.990593392,1.021034816
deactivate,156,1.022727273,1.00583373,1.077449767,1.018770881
created,157,1.086956522,1.009172111,1.048886103,1.082751661
added,158,1,0.995198336,1.046919553,0.996131528
paste,159,1,0.995339836,,0.996131528
item,160,1,0.998308432,0.9575773,0.996131528
column,161,1,0.99661589,,0.996131528
popup,162,1,0.997567504,0.981175126,0.996131528
perform,163,1,0.99661589,,0.996131528
finish,164,1,0.995567709,,0.996131528
entity,165,1,0.997341783,,0.996131528
external,166,1,0.997341783,,0.996131528
shared,167,1,0.997464657,0.96483221,0.996131528
ellipse,168,1,0.997991196,,0.996131528
old,169,1,0.996460514,,0.996131528
connection,170,1.046511628,1.004164588,0.953651344,1.042463227
connect,171,1,0.997875133,0.862464629,0.996131528
disconnect,172,1,0.99911627,1,0.996131528
target,173,1.046511628,1.008441899,0.994663491,1.042463227
launch,174,1,0.998646698,0.97570264,0.996131528
hide,175,1,0.997724219,1.048894857,0.996131528
sharing,176,1,0.995013927,1.013208586,0.996131528
end,177,1.011494253,0.996730494,1.00208318,1.007581316
result,178,1,0.997825677,,0.996131528
install,179,1,0.994627605,0.907225322,0.996131528
uninstall,180,1,0.99603764,1.151626474,0.996131528
event,181,2.789473684,1.167804084,8.346479414,2.778682683
selection,182,1,0.99696659,0.892666843,0.996131528
bdescriptor,183,1,0.994576364,0.959416697,0.996131528
pdescriptor,184,1,0.994576364,0.959416697,0.996131528
edescriptor,185,1,0.994576364,1.51317519,0.996131528
mdescriptor,186,1,0.994576364,0.617481225,0.996131528
bean,187,1,0.994576364,0.959416697,0.996131528
method,188,1,0.994576364,0.98361389,0.996131528
input,189,0.98245614,0.995038128,0.994063393,0.978655536
transfer,190,1,0.997898389,1.285216865,0.996131528
flavor,191,1,0.996616074,0.939260804,0.996131528
cut,192,1,0.995339836,,0.996131528
width,193,1.035714286,0.998730091,0.829060585,1.031707654
height,194,1.035714286,0.998730091,2.066602103,1.031707654
generic,195,1,1.003734594,,0.996131528
invoke,196,1,1.003737432,1.003891051,0.996131528
proxy,197,1,1.003734594,,0.996131528
null,198,1,0.998266805,0.89006087,0.996131528
listener,199,1,1.003734594,,0.996131528
raise,200,1,1.003734594,,0.996131528
change,201,1,0.997989015,1.023609332,0.996131528
exit,202,1,0.995210123,,0.996131528
option,203,1,0.995635028,1.102781707,0.996131528
review,204,1,0.995210123,,0.996131528
do,205,1,0.995273466,1,0.996131528
validator,206,1,0.996983062,,0.996131528
resolver,207,1,0.996983062,,0.996131528
reader,208,1,0.996983062,,0.996131528
parse,209,1,1.003191563,1.060317428,0.996131528
scan,210,1,0.994794324,0.960293792,0.996131528
process,211,1,1.01151213,1.132890697,0.996131528
graphics,212,1,0.998899897,,0.996131528
destination,213,1,0.998899897,,0.996131528
make,214,1,0.99888685,1.009427125,0.996131528
wrap,215,1,0.996922987,0.97403811,0.996131528
copy,216,1,0.999137235,,0.996131528
coerce,217,1,0.998899897,,0.996131528
multiply,218,1,0.998899897,,0.996131528
divide,219,1,0.998899897,,0.996131528
i,220,1,0.998899897,,0.996131528
b,221,1,0.998917076,1.008314874,0.996131528
mult,222,1,0.998899897,,0.996131528
diamond,223,1,0.997991196,,0.996131528
insets,224,1,0.995590988,1.00282107,0.996131528
top,225,1,0.99649019,,0.996131528
left,226,1,0.997298075,0.997161828,0.996131528
bottom,227,1,0.99649019,,0.996131528
right,228,1,0.99649019,,0.996131528
subtract,229,1,0.99649019,,0.996131528
equals,230,1,0.99751269,1.027082211,0.996131528
hash,231,1,0.99709086,1.040673526,0.996131528
float,232,1,0.99649019,,0.996131528
double,233,1,0.998337866,0.953158753,0.996131528
grow,234,1,1.002659713,1.057250522,0.996131528
insert,235,1,0.998057404,0.972667164,0.996131528
smart,236,1,0.996816433,,0.996131528
path,237,1,0.997742914,0.95357237,0.996131528
flatten,238,1,0.997956307,1.050383833,0.996131528
closed,239,1,0.997940851,0.858421248,0.996131528
capped,240,1,0.997263779,,0.996131528
node,241,1,0.998521378,0.856056605,0.996131528
point,242,1,0.997805618,1.005381229,0.996131528
real,243,1,0.995975628,,0.996131528
name,244,1.041666667,1.00915846,1.404285065,1.037637008
enum,245,1,0.998458795,0.928337119,0.996131528
teddy,246,1,0.994542609,,0.996131528
