386	colors	4
387	fractions	2
388	transparency	2
389	edit	8
390	reversed	2
391	size	6
393	parent	4
394	iterate	4
395	children	6
396	first	4
397	content	4
398	sort	6
399	zoom	4
400	tracker	2
401	round	4
403	multi	2
404	labels	2
405	locale	4
406	discard	2
407	selector	2
408	matches	2
410	verbose	2
411	significant	2
413	group	6
414	liner	4
415	reverse	2
416	coordinates	2
417	rotates	2
418	m	2
419	tile	2
420	all	2
421	normal	2
422	scroll	2
423	resize	4
424	initial	4
205	do	8
425	worker	2
426	pane	2
427	compare	4
478	vertical	6
428	connecting	2
429	icon	6
432	lock	6
433	ungroup	6
435	factory	2
486	combine	4
438	properties	4
436	button	2
437	rectangle	2
439	trace	2
440	compute	4
441	repaint	8
594	background	2
444	general	2
445	fixed	2
447	cyclic	2
192	cut	2
450	labeled	2
451	graphical	2
452	super	2
520	dialog	2
453	styled	2
247	scrollable	4
454	rebuild	2
455	lost	4
456	palettes	2
457	focused	4
458	maybe	2
459	non	2
460	pick	2
461	assignable	2
462	mode	2
463	ignore	2
464	previous	2
467	done	2
468	pretty	2
469	id	2
470	viewport	2
471	identify	2
479	horizontal	4
202	exit	2
204	review	2
473	straight	2
474	progress	2
476	potential	2
243	real	4
477	align	2
442	description	4
481	fit	2
482	reparameterize	2
483	newton	2
484	chord	2
485	v	2
318	root	2
487	placard	2
488	mask	2
489	control	2
493	extensions	2
494	accept	2
495	changing	2
248	caret	2
249	status	2
250	accessory	2
499	filled	2
500	stroked	2
501	solid	2
502	rows	2
503	columns	2
504	hgap	2
505	vgap	2
506	shadow	2
507	whitespace	2
508	ordinary	2
509	comment	2
510	quote	2
511	eol	2
512	slash	2
513	lower	2
514	push	2
515	lineno	2
516	consume	2
431	figures	2
