#0		0	0	0
298	radial	6		
299	radius	2		
300	border	4		
301	sheet	4		
302	animated	2		
303	style	6		
304	native	2	9	
305	matcher	2		1
306	match	2		10
307	reset	8	39	50
308	word	4		
309	copyright	8		
310	sticky	2		
311	parameters	2	1	11
312	about	2		
313	paint	26		
314	relative	16		4
315	my			1
316	mnemonic	2		
317	title	8		
318	root	2		11
319	gradient	4		
320	stops	4		
321	c	6	7	4
322	f	2	10	2
323	r	2	3	
324	stop	12	15	86
325	net	10	1	
326	invalidated	4		3
327	x	16	2	12
328	y	12		
329	arc	10		
330	hit	6		1
331	transformed	12		
332	defaults	4		1
333	perpendicular	6		
334	handlesize	4		
335	initialize		21	10
336	startup		1	2
337	shutdown		5	6
338	destroy		7	57
340	number	2	3	3
341	page	2		19
342	printable	2		
343	rendering	4		
344	locator	8		
345	skip	2	17	15
346	check	4	25	58
347	error	2	3	42
348	field	2	5	7
350	model	6		
351	l	4		
352	maximize	2		
353	bundle	2		
354	integer	6	1	2
355	mnem	2		
356	tip	2		
357	key	14	14	13
358	acc	2		
359	formatted	2	1	
360	base	2		16
361	duplicate	6		2
362	fetch	2	1	
363	character	2		16
364	dependency	2		
365	chop	12		
366	connector	4		8
367	bidirectional	2		
368	views	4		
369	task	2	1	7
370	duration	2		1
371	dependencies	2		
372	successors	2		
373	predecessors	2		
374	dependent	2		
375	floating	4		2
376	storable	2		
377	lineout	10		
378	triangle	4		
379	arrangeable	2		
380	arrangement	4		
381	methods	2		1
382	build	2	4	4
383	exception	2	2	15
384	d	2	4	4
385	cycle	2		
386	colors	4		
387	fractions	2		
388	transparency	2		
389	edit	8		
390	reversed	2		
391	size	6	16	23
392	constrain	6		
393	parent	4	5	28
394	iterate	4		
395	children	6	3	2
396	first	4	3	4
397	content	4	2	40
398	sort	6	5	1
399	zoom	4		
400	tracker	2		1
401	round	4		
402	locate	10		1
403	multi	2		
404	labels	2		
405	locale	4		20
406	discard	2		2
407	selector	2	1	5
408	matches	2	2	2
409	composite	10	1	2
410	verbose	2		1
411	significant	2		
412	rotate	6		1
413	group	6	7	8
414	liner	4		
415	reverse	2	1	2
416	coordinates	2		
417	rotates	2		
418	m	2	8	25
419	tile	2		
420	all	2	5	8
421	normal	2		
422	scroll	2		
423	resize	4		4
424	initial	4	8	10
425	worker	2		4
426	pane	2		
427	compare	4	32	14
428	connecting	2		
429	icon	6		
430	export	10		
431	figures	2		
432	lock	6	1	10
433	ungroup	6		
434	modified			4
435	factory	2	3	15
436	button	2		
437	rectangle	2		
438	properties	4		5
439	trace	2		2
440	compute	4	2	
441	repaint	8		
442	description	4	5	19
443	decoration	6		
444	general	2		
445	fixed	2		1
446	calculate	4	3	1
447	cyclic	2		
448	minimum	8	1	1
449	maximum	6	1	
450	labeled	2		
451	graphical	2		
452	super	2		1
453	styled	2		
454	rebuild	2		
455	lost	4		
456	palettes	2		
457	focused	4		
458	maybe	2		2
459	non	2		5
460	pick	2		
461	assignable	2		2
462	mode	2	1	
463	ignore	2		6
464	previous	2	3	4
465	next	8	12	45
466	winding	6		
467	done	2	7	1
468	pretty	2		1
469	id	2	4	18
470	viewport	2		
471	identify	2		
472	drag	4		
473	straight	2		
474	progress	2	3	3
475	source	4	1	13
476	potential	2		
477	align	2		
478	vertical	6		
479	horizontal	4		
481	fit	2		
482	reparameterize	2		
483	newton	2		
484	chord	2		
485	v	2	4	1
486	combine	4	1	
487	placard	2		
488	mask	2		1
489	control	2		2
490	intersects	4		
491	curve	4		
493	extensions	2		1
494	accept	2	8	24
495	changing	2		
496	state	6		11
499	filled	2		
500	stroked	2		
501	solid	2		
502	rows	2		
503	columns	2		
504	hgap	2		
505	vgap	2		
506	shadow	2		
507	whitespace	2		
508	ordinary	2		
509	comment	2		7
510	quote	2	1	4
511	eol	2		
512	slash	2		1
513	lower	2	1	2
514	push	2	6	14
515	lineno	2		
516	consume	2	3	
517	selectable	4		
518	removable	4		
519	major	2	1	6
520	dialog	2		
521	len	2	1	1
522	segment	2	1	
523	clockwise	2		
524	quadrant	2		
526	import	2		2
528	h		1	2
529	context		12	56
530	a		2	7
534	invisible	4		
535	single		1	6
536	session		1	63
543	table			1
546	await			6
547	platform		1	
548	wait		9	5
549	ready			9
552	dispatch			6
553	instance		6	20
554	no		2	9
555	local		7	38
556	abort		1	2
559	directory		6	5
560	instantiate		1	
562	supports			1
563	register		12	23
564	for	4	1	2
565	boolean		3	4
566	byte		6	11
567	long		3	10
568	short		3	1
569	message		2	55
570	u		5	21
571	resources			9
573	lookup			10
574	object		1	42
575	evaluate			8
576	inject		1	
579	failed			2
580	cancelled			3
582	adapter			4
585	auto			5
587	user		16	30
589	started			3
590	scope			6
591	block		13	1
593	forward			8
594	background	2		18
595	theta	2		
596	format	2	3	11
597	internal	2	3	14
598	transformable	4		
599	pict	2		
600	images	2		
601	visual	2		
602	admin		2	
603	compressed		5	
604	algorithm		2	2
605	bytes		17	28
606	virtual		4	4
607	physical		4	
608	available		17	24
609	num		7	1
610	cpu		2	
611	cumulative		3	
612	proc		2	2
613	ganglia		7	
614	emit		11	
615	checksum		5	
616	pos		18	
617	java		14	12
618	deserialize		7	3
619	serialize		6	3
620	deserializer		5	
621	serializer		3	
622	fs		6	
623	trash		2	
624	src		3	
625	cat		1	
626	replication		10	5
627	ls		1	
628	du		1	
629	dus		1	
630	mkdir		3	
631	touchz		1	
632	test		1	2
633	stat		3	1
634	rename		13	8
635	expunge		2	
636	tail		1	
637	cmd		2	
638	ok		1	1
639	shell		4	
640	limit		3	7
641	doall		1	
642	delayed		1	
643	glob		6	
644	procfs		1	
645	alive		2	1
646	any		1	1
647	valid		3	15
648	pid		1	
649	pgrp		1	
650	ppid		1	
651	vmem		1	
652	utime		1	
653	stime		1	
654	dtime		1	
655	rssmem		1	
656	age		1	
657	writable		7	2
658	jni		1	
659	groups		11	7
660	cache		11	15
661	slope		3	
662	gauge		3	
663	counter		3	2
664	memory		4	12
665	metrics		40	
666	comparator		12	2
667	from		7	5
668	high		1	1
669	low		1	1
670	utf		3	2
671	store		6	10
672	inode		2	
673	retrieve		7	
674	list		17	22
675	purge		5	
676	dump		7	18
677	built		3	
678	needs		10	
679	decompress		8	1
680	remaining		6	6
681	dictionary		9	
682	conf		19	
683	bad		2	
684	host		5	16
685	servlet		2	66
686	html		2	
687	percentage		1	
688	records		2	
689	record		14	
690	metric		22	
691	snappy		3	
692	sequence		2	
693	compression		9	2
694	uncompressed		1	
695	metadata		1	1
696	own		1	
697	sync		5	3
698	seek		19	1
699	position		4	1
700	sorter		1	
701	factor		1	
702	progressable		2	
703	merge		2	6
704	seq		1	1
705	less		2	1
706	adjust		3	4
707	pass		1	
708	preserve		1	
709	should		5	
710	cleanup		5	3
711	linked		1	
712	k		3	1
713	counting		1	
714	buckets		1	
715	and		6	4
716	membership		4	8
717	approximate		1	
718	not		5	2
719	or		5	2
720	xor		4	
721	gen		18	4
722	murmur		1	
723	codec		3	
724	declared		1	1
725	weight		2	
726	increment		4	5
727	cpp		14	
728	signature		12	6
729	pseudo		4	
730	authenticate		6	22
731	binary		4	2
732	incr		17	
733	xml		2	13
734	characters		1	3
735	char		2	8
736	capacity		5	1
737	loaded		1	2
738	two		1	1
739	t		3	2
740	chunk		4	
741	supported		2	2
742	writer		3	12
743	prepare		2	8
744	inc		7	4
745	sorted		1	
746	entry		3	9
747	last		8	28
748	meta		4	1
749	scanner		1	
750	rewind		1	1
751	upper		1	1
752	advance		2	1
753	park		1	
754	buffer		10	39
755	offset		6	3
756	entries		1	
757	count		3	8
758	command		5	4
759	hb		2	
760	choose		2	3
761	bs		2	
762	simple		3	3
763	vswap		1	
764	med		1	
765	q		1	2
766	randomise		1	
767	generate		4	18
768	unregister		5	9
769	int		4	16
770	raw		10	
771	checkpoint		1	
772	emptier		1	
773	ceiling		1	
774	floor		1	
775	iterator		4	1
776	visit		7	15
777	publish		4	5
778	snapshot		9	
779	sink		2	
780	waitable		1	
781	notify		1	7
782	compressor		4	
783	compress		7	2
784	protocol		2	25
785	ugi		2	
786	debug		1	4
787	jj		2	2
788	re		3	4
789	switch		1	1
790	timestamp		4	11
791	tags		5	1
792	try		3	2
793	hosts		3	
794	refresh		11	2
795	excludes		1	
796	authentication		7	2
797	expires		1	1
798	expired		2	5
799	reload		1	7
800	substitute		1	1
801	props		1	
802	unset		1	2
803	overlay		1	
804	hex		2	5
805	included		1	4
806	strings		2	
807	as		1	2
808	quiet		1	1
809	val		1	
810	indexed		2	
811	compile		4	4
812	decompressor		4	
813	authorization		1	
814	stack		2	5
815	return		2	7
816	monitoring		3	
817	other		1	
818	immutable		1	
819	network		4	
820	normalize		3	9
821	level		4	
822	define		3	
823	need		1	1
824	verify		7	3
825	utils		3	
826	jenkins		1	
827	rot		1	
828	comp		1	
829	interval		3	2
830	obtain		1	
831	exists		6	2
832	allocator		1	
833	stringify		1	6
834	human		1	
835	array		3	4
836	uri		10	2
837	escape		1	10
838	un		3	2
839	hostname		2	3
840	capitalize		1	1
841	camelize		1	
842	retry		5	
843	har		1	
844	archive		1	
845	working		10	1
846	canonical		4	4
847	fix		4	2
848	dir		4	4
849	part		1	6
850	modification		4	3
851	home		5	6
852	mkdirs		13	
853	complete		8	7
854	permission		8	2
855	master		2	
856	lexical		1	1
857	kerberos		4	
858	service		5	23
859	realm		1	10
860	rule		1	4
861	configuration		4	
862	rules		1	4
863	sample		1	
864	mean		1	
865	variance		1	
866	stddev		1	
867	min		2	11
868	max		6	49
869	pre		2	7
870	post		2	9
871	program		1	
872	driver		2	4
873	registry		1	9
874	readdir		2	
875	readdirplus		2	
876	rmdir		2	
877	filesize		2	
878	updater		1	
879	pure		1	
880	token		8	9
881	kind		3	
882	socket		4	14
883	canonicalize		1	
884	server		7	33
885	static		2	2
886	compiled		1	
887	vector		4	
888	generics		1	
889	decr		6	
890	exceptions		2	
891	reinit		5	
892	channel		4	13
893	unquote		2	1
894	approx		1	
895	sum		2	
896	report		4	4
897	krb		2	
898	oid		1	
899	running		1	1
900	log		8	50
901	roll		1	
902	renew		3	1
903	cancel		4	2
904	password		3	25
905	expand		2	8
906	backup		1	3
907	suffix		2	3
908	chmod		4	
909	pattern		1	2
910	chown		1	
911	chgrp		1	
912	bloom		2	
913	probably		1	
914	subinterface		1	
915	signer		2	
916	sign		1	
917	secure		1	20
918	insecure		1	
919	already		1	1
920	umask		1	
921	opt		1	1
922	values		2	4
923	users		3	10
924	g		1	
925	ulimit		1	
926	environment		1	2
927	exec		5	
928	timed		2	
929	map		4	11
930	digest		1	3
931	digester		1	10
932	half		1	
933	quarter		1	
934	indent		1	1
935	daemon		1	3
936	runnable		1	1
937	units		2	
938	tmax		2	
939	dmax		2	
940	xdr		2	
941	pad		2	1
942	minor		1	6
943	display		1	20
944	negative		1	
945	attr		2	1
946	syncable		1	
947	swap		3	1
948	client		4	10
949	priority		1	
950	pop		1	12
951	up		1	
952	down		2	
953	terse		1	
954	remote		7	17
955	bind		1	21
956	rpc		3	5
957	call		3	5
958	response		1	24
959	address		2	14
960	responder		1	
961	dec		3	2
962	idle		1	1
963	authorized		1	
964	sasl		5	
965	authorize		3	
966	handler		1	9
967	setup		3	9
968	disable		2	9
969	enable		2	3
970	accepts		2	
971	reserve		1	
972	unreserve		1	
973	files		2	1
974	percent		2	
975	timer		2	
976	wrapped		2	1
977	quota		1	
978	space		1	3
979	header		2	31
980	detailed		1	
981	fstat		1	
982	cached		4	1
983	posix		1	
984	lib		1	
985	app		3	10
986	principal		1	19
987	keytab		1	
988	security		2	16
989	tgt		1	
