1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,80,80,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,
2,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,72,72,55,55,55,55,55,55,58,58,58,59,59,59,59,60,60,2,
3,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,3,
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,
5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,
6,177,177,177,177,176,176,176,176,176,176,176,177,177,177,177,177,177,177,177,174,174,174,174,177,177,183,183,186,186,186,187,187,187,187,187,187,6,
7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,
8,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,8,
9,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,84,84,68,68,68,68,68,68,71,71,71,71,71,71,71,72,72,9,
10,114,114,114,114,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,108,108,108,108,108,108,112,112,122,122,122,122,122,122,122,122,122,10,
11,111,111,111,111,111,111,111,111,111,111,111,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,11,
12,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,12,
13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,
14,123,123,123,123,125,124,124,124,124,124,124,130,130,130,130,130,130,130,130,148,148,130,130,130,130,130,130,130,130,131,131,131,131,131,131,131,14,
15,98,98,98,98,101,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,103,103,103,103,104,104,104,104,104,104,104,15,
16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,16,
17,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,17,
18,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,18,
19,142,142,143,143,144,144,144,145,145,145,145,145,145,145,145,145,145,145,145,180,180,138,138,138,138,140,140,143,143,143,143,142,142,142,143,143,19,
20,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,46,46,46,46,46,46,55,54,54,54,54,54,54,54,54,54,54,20,
21,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,71,71,46,46,46,46,55,54,54,54,54,54,54,54,54,54,54,21,
22,111,111,111,111,114,114,114,114,114,114,114,115,115,115,115,115,115,115,115,116,116,116,116,116,116,118,117,117,117,118,118,118,121,121,121,121,22,
23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,23,
24,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,108,108,53,53,53,53,60,59,60,60,60,60,60,60,60,61,61,24,
25,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,106,95,97,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,25,
